Designator,Mid X,Mid Y,Rotation,Layer
C1,15.25,37.75,180.0,top
D1,51.75,37.0,270.0,top
D10,49.75,21.5,90.0,top
D2,58.75,37.0,270.0,top
D3,65.75,37.0,270.0,top
D4,72.75,37.0,270.0,top
D5,53.75,21.5,90.0,top
D6,46.75,37.5,270.0,top
D7,39.75,37.5,270.0,top
D8,67.75,21.5,90.0,top
D9,63.75,21.5,90.0,top
J1,16.75,43.5,180.0,top
J10,47.75,6.5,0.0,top
J2,58.75,43.5,180.0,top
J3,72.75,43.5,180.0,top
J4,44.75,43.5,180.0,top
J5,5.75,6.5,0.0,top
J6,19.75,6.5,0.0,top
J7,33.75,6.5,0.0,top
J8,61.75,6.5,0.0,top
J9,30.75,43.5,180.0,top
Q1,51.75,28.0,90.0,top
Q2,65.75,28.0,90.0,top
R1,47.25,18.0,270.0,top
R10,43.75,36.5,180.0,top
R11,36.75,38.5,0.0,top
R12,36.75,36.5,180.0,top
R13,56.25,21.5,270.0,top
R14,70.25,21.5,270.0,top
R15,61.25,21.5,270.0,top
R16,47.25,21.5,270.0,top
R2,43.75,38.5,180.0,top
R3,49.75,18.0,90.0,top
R4,56.25,18.0,270.0,top
R5,53.75,18.0,90.0,top
R6,61.25,18.0,270.0,top
R7,63.75,18.0,90.0,top
R8,70.25,18.0,270.0,top
R9,67.75,18.0,90.0,top
U1,21.25,25.0,90.0,top
